,title,links,song_lyric
20,Opera House,https://www.lyrics.com/lyric/33941163/Cigarettes+After+Sex/Opera+House,"Built an opera house for you in the deepest jungle
And I walked across its stage, singing with my eyes closed
I've got a love for you I just can't escape
All of my love for you cuts me like barbed wire

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight

If I abandoned love, I'd be a man without dreams (ooh)
I'd rather be out there staring death right between its eyes now
And I can still hear the sound of you crying through the night
There in the opera house with no one else for miles

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight"
21,Truly,https://www.lyrics.com/lyric/33941164/Cigarettes+After+Sex/Truly,"Sitting out smoking in the garden of the apartment
I reached down to grab your hand and kissed it when you weren't looking
Ooh, you're on the sheets like it's a dirty magazine
And I like the way you say exactly what you mean

Truly, know that you really don't need
To be in love to make love to me

Said you wear a new perfume for each city that you visit
So you can always remember how it felt to be there
And your lips are red and all the pictures that you send
Wearing white or black, all leading up to when we met

Truly, know that you really don't need
To be in love to make love to me
Truly, know that you really don't need
To be in love to make love to me"
22,John Wayne,https://www.lyrics.com/lyric/33941165/Cigarettes+After+Sex/John+Wayne,"He's got so much love for her
But he doesn't know what to do
Sitting in the car
Waiting outside of school

He's in for a heartbreak if it's all been blind faith
From my point of view

Baby, he's got to be crazy
Living like he's John Wayne
Always facing the world and chasing the girl
Baby, he's got to be crazy

He's got so much in his heart
But he doesn't know what to do
All he wants is her
Lying inside his room

He's always feeling cheated, telling all his secrets
That I couldn't keep

Baby, he's got to be crazy
Living like he's John Wayne
Always facing the world and chasing the girl
Baby, he's got to be crazy

Baby, he's got to be crazy
Living like he's John Wayne
Always facing the world and chasing the girl
Baby, he's got to be crazy"
23,Young & Dumb,https://www.lyrics.com/lyric/33941166/Cigarettes+After+Sex/Young+%26+Dumb,"Wearing black lipstick, bleaching your hair blonde
Put on your socks
Cut-offs or jean shorts, vampire fangs
And your ""I Love New York"" shirt

Well, I know full well that you are
The patron saint of sucking cock
Señorita, you're a cheater
Well, so am I

You wanna go where the girls are young and dumb
And hot as f*ck
Where they're dancing in the streets
With nothing on
We'll drive your car to the beach with this song on repeat
You showed me
We'll drive your car to the beach with this song on repeat
Oh, baby

My heart is racing watching you kiss him
On my guitar
Faking the teardrop by spraying my eye with
That water gun

Well, I know full well that you are
The patron saint of sucking cock
Señorita, you're a cheater
Well, so am I

We wanna go where the girls are young and dumb
And hot as f*ck
Where they're dancing in the streets
With nothing on
I drive your car to the beach with this song on repeat
You showed me
I drive your car to the beach with this song on repeat
Oh, baby"
24,K.,https://www.lyrics.com/lyric/35562264/Cigarettes+After+Sex/K.,"I remember when I first noticed that you liked me back
We were sitting down in a restaurant waiting for the check
We had made love earlier that day with no strings attached
But I could tell that something had changed how you looked at me then

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle

And on the Lower East Side you're dancing with me now
And I'm taking pictures of you with flowers on the wall
Think I like you best when you're dressed in black from head to toe
Think I like you best when you're just with me
And no one else

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle

And I'm kissing you lying in my room
Holding you until you fall asleep
And it's just as good as I knew it would be
Stay with me I don't want you to leave

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle"
25,Each Time You Fall in Love,https://www.lyrics.com/lyric/35562263/Cigarettes+After+Sex/Each+Time+You+Fall+in+Love,"Each time you fall in love
It’s clearly not enough
You sleep all day and drive out in L.A
It isn’t safe
And each time you kiss a girl
You never know what it’s worth
You say all of the words they wanna hear
It isn’t real

She took you for a ride in summer baby
Lost all your money to her
All I wanna know is if you love her
How come you never give in

Each time you have a dream
You never know what it means
You see that open road and never know which way to go
And each time you fall in love
It’s clearly not enough
You sleep all day and drive out in L.A
It isn’t safe

She took you for a ride in summer baby
Lost all your money to her
All I wanna know is if you love her
How come you never give in"
26,Apocalypse,https://www.lyrics.com/lyric/35562261/Cigarettes+After+Sex/Apocalypse,"You leapt from crumbling bridges watching cityscapes turn to dust
Filming helicopters crashing in the ocean from way above

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Kisses on the foreheads of the lovers wrapped in your arms
You've been hiding them in hollowed out pianos left in the dark

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Your lips, my lips, apocalypse
Your lips, my lips, apocalypse
Go and sneak us through the rivers flood is rising up on your knees, oh please
Come out and haunt me, I know you want me
Come out and haunt me

Sharing all your secrets with each other since you were kids
Sleeping soundly with the locket that she gave you clutched in your fist

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye
You've been locked in here forever and you just can't say goodbye

Oh, when you're all alone, I will reach for you
When you're feeling low, I will be there, too"
27,Flash,https://www.lyrics.com/lyric/35562260/Cigarettes+After+Sex/Flash,"I'm a flash, you were blinded by the love I had
I'm a flash, the light could only get in through the cracks

And you've gotta do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph

When they crashed the helicopters in my heart, it ripped
Cut in half, you saw me lying there bleeding to death

And you had to do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph

Now I stand on the stage
I forget my lines to your play ""Satan's Imagination""
And a voice in my head's causing suicide searching for any way to remember them

And you've got to do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph"
28,Sweet,https://www.lyrics.com/lyric/35562259/Cigarettes+After+Sex/Sweet,"Watching the video that you sent me
The one where you're showering with wet hair dripping
You know that I'm obsessed with your body
But it's the way you smile that does it for me

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet

Watching the video where you're lying
In your red lingerie ten times nightly
You know I think your skin's the perfect color
But it's always your eyes that pull me under

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet

And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet"
29,Opera House,https://www.lyrics.com/lyric/35562258/Cigarettes+After+Sex/Opera+House,"Built an opera house for you in the deepest jungle
And I walked across its stage, singing with my eyes closed
I've got a love for you I just can't escape
All of my love for you cuts me like barbed wire

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight

If I abandoned love, I'd be a man without dreams (ooh)
I'd rather be out there staring death right between its eyes now
And I can still hear the sound of you crying through the night
There in the opera house with no one else for miles

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight"
30,John Wayne,https://www.lyrics.com/lyric/35562256/Cigarettes+After+Sex/John+Wayne,"He's got so much love for her
But he doesn't know what to do
Sitting in the car
Waiting outside of school

He's in for a heartbreak if it's all been blind faith
From my point of view

Baby, he's got to be crazy
Living like he's John Wayne
Always facing the world and chasing the girl
Baby, he's got to be crazy

He's got so much in his heart
But he doesn't know what to do
All he wants is her
Lying inside his room

He's always feeling cheated, telling all his secrets
That I couldn't keep

Baby, he's got to be crazy
Living like he's John Wayne
Always facing the world and chasing the girl
Baby, he's got to be crazy

Baby, he's got to be crazy
Living like he's John Wayne
Always facing the world and chasing the girl
Baby, he's got to be crazy"
31,Young & Dumb,https://www.lyrics.com/lyric/35562255/Cigarettes+After+Sex/Young+%26+Dumb,"Wearing black lipstick, bleaching your hair blonde
Put on your socks
Cut-offs or jean shorts, vampire fangs
And your ""I Love New York"" shirt

Well, I know full well that you are
The patron saint of sucking cock
Señorita, you're a cheater
Well, so am I

You wanna go where the girls are young and dumb
And hot as f*ck
Where they're dancing in the streets
With nothing on
We'll drive your car to the beach with this song on repeat
You showed me
We'll drive your car to the beach with this song on repeat
Oh, baby

My heart is racing watching you kiss him
On my guitar
Faking the teardrop by spraying my eye with
That water gun

Well, I know full well that you are
The patron saint of sucking cock
Señorita, you're a cheater
Well, so am I

We wanna go where the girls are young and dumb
And hot as f*ck
Where they're dancing in the streets
With nothing on
I drive your car to the beach with this song on repeat
You showed me
I drive your car to the beach with this song on repeat
Oh, baby"
32,K.,https://www.lyrics.com/lyric/33984770/Cigarettes+After+Sex/K.,"I remember when I first noticed that you liked me back
We were sitting down in a restaurant waiting for the check
We had made love earlier that day with no strings attached
But I could tell that something had changed how you looked at me then

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle

And on the Lower East Side you're dancing with me now
And I'm taking pictures of you with flowers on the wall
Think I like you best when you're dressed in black from head to toe
Think I like you best when you're just with me
And no one else

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle

And I'm kissing you lying in my room
Holding you until you fall asleep
And it's just as good as I knew it would be
Stay with me I don't want you to leave

Kristen, come right back
I've been waiting for you to slip back in bed
When you light the candle"
33,Each Time You Fall in Love,https://www.lyrics.com/lyric/33984769/Cigarettes+After+Sex/Each+Time+You+Fall+in+Love,"Each time you fall in love
It’s clearly not enough
You sleep all day and drive out in L.A
It isn’t safe
And each time you kiss a girl
You never know what it’s worth
You say all of the words they wanna hear
It isn’t real

She took you for a ride in summer baby
Lost all your money to her
All I wanna know is if you love her
How come you never give in

Each time you have a dream
You never know what it means
You see that open road and never know which way to go
And each time you fall in love
It’s clearly not enough
You sleep all day and drive out in L.A
It isn’t safe

She took you for a ride in summer baby
Lost all your money to her
All I wanna know is if you love her
How come you never give in"
34,Sunsetz,https://www.lyrics.com/lyric/33984768/Cigarettes+After+Sex/Sunsetz,"Sunsets
We wander through a foreign town
Strangely, there's nobody else around
So you open your dress and show me your tits
On the swing set at the old playground

And when you go away 
I still see you
The sunlight on your face in my rear-view

Sunsets
I wanna hear your voice
A love that nobody could destroy
Took photographs like Brautigan's book covers
That we both adored

And when you go away
I still see you
The sunlight on your face in my rear view
This always happens to me this way
Recurring visions of such sweet days

And when you go away
I still see you
The sunlight on your face in my rear view
When you go away 
I still see you
The sunlight on your face in my rear view"
35,Apocalypse,https://www.lyrics.com/lyric/33984767/Cigarettes+After+Sex/Apocalypse,"You leapt from crumbling bridges watching cityscapes turn to dust
Filming helicopters crashing in the ocean from way above

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Kisses on the foreheads of the lovers wrapped in your arms
You've been hiding them in hollowed out pianos left in the dark

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye

Your lips, my lips, apocalypse
Your lips, my lips, apocalypse
Go and sneak us through the rivers flood is rising up on your knees, oh please
Come out and haunt me, I know you want me
Come out and haunt me

Sharing all your secrets with each other since you were kids
Sleeping soundly with the locket that she gave you clutched in your fist

Got the music in you baby, tell me why
Got the music in you baby, tell me why
You've been locked in here forever and you just can't say goodbye
You've been locked in here forever and you just can't say goodbye

Oh, when you're all alone, I will reach for you
When you're feeling low, I will be there, too"
36,Flash,https://www.lyrics.com/lyric/33984766/Cigarettes+After+Sex/Flash,"I'm a flash, you were blinded by the love I had
I'm a flash, the light could only get in through the cracks

And you've gotta do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph

When they crashed the helicopters in my heart, it ripped
Cut in half, you saw me lying there bleeding to death

And you had to do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph

Now I stand on the stage
I forget my lines to your play ""Satan's Imagination""
And a voice in my head's causing suicide searching for any way to remember them

And you've got to do the right thing, do the right thing, baby
You're the white swan in the photograph
Do the right thing, do the right thing, baby
You're the white swan in the photograph"
37,Sweet,https://www.lyrics.com/lyric/33984765/Cigarettes+After+Sex/Sweet,"Watching the video that you sent me
The one where you're showering with wet hair dripping
You know that I'm obsessed with your body
But it's the way you smile that does it for me

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet

Watching the video where you're lying
In your red lingerie ten times nightly
You know I think your skin's the perfect color
But it's always your eyes that pull me under

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet

And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you
And I will gladly break it
I will gladly break my heart for you

It's so sweet, knowing that you love me
Though we don't need to say it to each other, sweet
Knowing that I love you, and running my fingers through your hair
It's so sweet"
38,Opera House,https://www.lyrics.com/lyric/33984764/Cigarettes+After+Sex/Opera+House,"Built an opera house for you in the deepest jungle
And I walked across its stage, singing with my eyes closed
I've got a love for you I just can't escape
All of my love for you cuts me like barbed wire

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight

If I abandoned love, I'd be a man without dreams (ooh)
I'd rather be out there staring death right between its eyes now
And I can still hear the sound of you crying through the night
There in the opera house with no one else for miles

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight

Ooh, I was meant to love you
And always keep you in my life
Ooh, I was meant to love you
I knew I loved you at first sight"
